id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,jenis_unggas,populasi_unggas,satuan,tahun
142,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213050,CIJAMBE,321319,CIJAMBE,AYAM PETELOR,43500.0,EKOR,2024
143,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213050,CIJAMBE,321319,CIJAMBE,AYAM PEDAGING,405500.0,EKOR,2024
144,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213050,CIJAMBE,321319,CIJAMBE,ITIK,8349.0,EKOR,2024
145,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213130,CIKAUM,321322,CIKAUM,AYAM KAMPUNG,44820.0,EKOR,2024
146,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213130,CIKAUM,321322,CIKAUM,AYAM PETELOR,0.0,EKOR,2024
147,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213130,CIKAUM,321322,CIKAUM,AYAM PEDAGING,971500.0,EKOR,2024
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213130,CIKAUM,321322,CIKAUM,ITIK,118950.0,EKOR,2024
149,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213090,CIPEUNDEUY,321320,CIPEUNDEUY,AYAM KAMPUNG,31134.0,EKOR,2024
150,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213090,CIPEUNDEUY,321320,CIPEUNDEUY,AYAM PETELOR,7000.0,EKOR,2024
151,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213090,CIPEUNDEUY,321320,CIPEUNDEUY,AYAM PEDAGING,415500.0,EKOR,2024
152,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213090,CIPEUNDEUY,321320,CIPEUNDEUY,ITIK,2530.0,EKOR,2024
153,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213150,CIPUNAGARA,321318,CIPUNAGARA,AYAM KAMPUNG,76600.0,EKOR,2024
154,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213150,CIPUNAGARA,321318,CIPUNAGARA,AYAM PETELOR,0.0,EKOR,2024
155,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213150,CIPUNAGARA,321318,CIPUNAGARA,AYAM PEDAGING,185000.0,EKOR,2024
156,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213150,CIPUNAGARA,321318,CIPUNAGARA,ITIK,39320.0,EKOR,2024
157,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213030,CISALAK,321302,CISALAK,AYAM KAMPUNG,132881.0,EKOR,2024
158,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213030,CISALAK,321302,CISALAK,AYAM PETELOR,3800.0,EKOR,2024
159,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213030,CISALAK,321302,CISALAK,AYAM PEDAGING,449500.0,EKOR,2024
160,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213030,CISALAK,321302,CISALAK,ITIK,54078884.0,EKOR,2024
161,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213160,COMPRENG,321315,COMPRENG,AYAM KAMPUNG,38795.0,EKOR,2024
162,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213160,COMPRENG,321315,COMPRENG,AYAM PETELOR,9000.0,EKOR,2024
163,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213160,COMPRENG,321315,COMPRENG,AYAM PEDAGING,71000.0,EKOR,2024
164,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213160,COMPRENG,321315,COMPRENG,ITIK,24520.0,EKOR,2024
165,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213081,DAWUAN,321327,DAWUAN,AYAM KAMPUNG,133375.0,EKOR,2024
166,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213081,DAWUAN,321327,DAWUAN,AYAM PETELOR,46000.0,EKOR,2024
167,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213081,DAWUAN,321327,DAWUAN,AYAM PEDAGING,691000.0,EKOR,2024
168,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213081,DAWUAN,321327,DAWUAN,ITIK,9800.0,EKOR,2024
169,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213020,JALANCAGAK,321312,JALANCAGAK,AYAM KAMPUNG,1077900245.0,EKOR,2024
170,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213020,JALANCAGAK,321312,JALANCAGAK,AYAM PETELOR,6000.0,EKOR,2024
171,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213020,JALANCAGAK,321312,JALANCAGAK,AYAM PEDAGING,602129.0,EKOR,2024
172,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213020,JALANCAGAK,321312,JALANCAGAK,ITIK,38038884.0,EKOR,2024
173,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213080,KALIJATI,321304,KALIJATI,AYAM KAMPUNG,87922.0,EKOR,2024
174,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213080,KALIJATI,321304,KALIJATI,AYAM PETELOR,0.0,EKOR,2024
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213080,KALIJATI,321304,KALIJATI,AYAM PEDAGING,1389400.0,EKOR,2024
176,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213080,KALIJATI,321304,KALIJATI,ITIK,4452.0,EKOR,2024
177,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213031,KASOMALANG,321326,KASOMALANG,AYAM KAMPUNG,102680.0,EKOR,2024
178,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213031,KASOMALANG,321326,KASOMALANG,AYAM PETELOR,10500.0,EKOR,2024
179,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213031,KASOMALANG,321326,KASOMALANG,AYAM PEDAGING,313700.0,EKOR,2024
180,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213031,KASOMALANG,321326,KASOMALANG,ITIK,3979.0,EKOR,2024
181,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213210,LEGONKULON,321321,LEGONKULON,AYAM KAMPUNG,24139.0,EKOR,2024
182,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213210,LEGONKULON,321321,LEGONKULON,AYAM PETELOR,0.0,EKOR,2024
183,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213210,LEGONKULON,321321,LEGONKULON,AYAM PEDAGING,72000.0,EKOR,2024
